RANK,NAME,AGE,LOCATION,CATEGORY
1.,Ursula von der Leyen,64,Belgium,Politics & Policy
2.,Christine Lagarde,66,Germany,Politics & Policy
3.,Kamala Harris,58,United States,Politics & Policy
4.,Mary Barra,60,United States,Business
5.,Abigail Johnson,60,United States,Money
6.,Melinda French Gates,58,United States,Philanthropy
7.,Giorgia Meloni,45,Italy,Politics & Policy
8.,Karen Lynch,58,United States,Business
9.,Julie Sweet,55,United States,Business
10.,Jane Fraser,55,United States,Finance
11.,MacKenzie Scott,52,United States,Impact
12.,Kristalina Georgieva,69,United States,Politics & Policy
13.,Rosalind Brewer,59,United States,Business
14.,Emma Walmsley,53,United Kingdom,Business
15.,Ana Patricia Botín,62,Spain,Finance
16.,Gail Boudreaux,62,United States,Business
17.,Tsai Ing-wen,66,Taiwan,Politics & Policy
18.,Ruth Porat,65,United States,Technology
19.,Safra Catz,60,United States,Technology
20.,Martina Merz,59,Germany,Business
21.,Carol Tomé,65,United States,Business
22.,Judith McKenna,56,United States,Business
23.,Susan Wojcicki,54,United States,Technology
24.,Oprah Winfrey,68,United States,Media & Entertainment
25.,Nancy Pelosi,82,United States,Politics & Policy
26.,Laurene Powell Jobs & family,59,United States,Philanthropy
27.,Amanda Blanc,55,United Kingdom,Business
28.,Amy Hood,50,United States,Technology
29.,Catherine MacGregor,50,France,Business
30.,Phebe Novakovic,65,United States,Entrepreneurs
31.,Gwynne Shotwell,59,United States,Technology
32.,Shari Redstone,68,United States,Lifestyle
33.,Janet Yellen,76,United States,Politics & Policy
34.,Jessica Tan,45,China,Finance
35.,Ho Ching,69,Singapore,Finance
36.,Nirmala Sitharaman,63,India,Politics & Policy
37.,Thasunda Brown Duckett,49,United States,Finance
38.,Kathy Warden,51,United States,Business
39.,"Marianne Lake, Jennifer Piepszak",-,United States,Finance
40.,Jacinda Ardern,42,New Zealand,Politics & Policy
41.,Dana Walden,58,United States,Media & Entertainment
42.,Sheikh Hasina Wajed,75,Bangladesh,Politics & Policy
43.,Mary Callahan Erdoes,55,United States,Money
44.,Adena Friedman,53,United States,Finance
45.,Gina Rinehart,68,Australia,Business
46.,Lynn Martin,46,United States,Finance
47.,Sri Mulyani Indrawati,60,Indonesia,Politics & Policy
48.,Vicki Hollub,63,United States,Entrepreneurs
49.,Nicke Widyawati,54,Indonesia,Business
50.,Lisa Su,53,United States,Entrepreneurs
51.,Tricia Griffith,58,United States,Business
52.,Shemara Wikramanayake,60,Australia,Business
53.,Roshni Nadar Malhotra,41,India,Technology
54.,Madhabi Puri Buch,56,India,Politics & Policy
55.,Sinead Gorman,45,United Kingdom,Business
56.,Tokiko Shimizu,57,Japan,Finance
57.,Yuriko Koike,70,Japan,Politics & Policy
58.,Jennifer Salke,58,United States,Media & Entertainment
59.,Jenny Johnson,58,United States,Money
60.,Hana Al Rostamani,-,United Arab Emirates,Finance
61.,Donna Langley,54,United States,Media & Entertainment
62.,Dong Mingzhu,68,China,Business
63.,Judy Faulkner,79,United States,Entrepreneurs
64.,Robyn Denholm,59,Australia,Business
65.,Suzanne Scott,56,United States,Media & Entertainment
66.,Lynn Good,63,United States,Business
67.,Soma Mondal,59,India,Business
68.,Belén Garijo,62,Germany,Business
69.,Melanie Kreis,51,Germany,Business
70.,Bela Bajaria,51,United States,Media & Entertainment
71.,Paula Santilli,-,Mexico,Business
72.,Laura Cha,-,China,Finance
73.,Rihanna,34,United States,Media & Entertainment
74.,Mette Frederiksen,45,Denmark,Politics & Policy
75.,Mary Meeker,63,United States,Venture Capital
76.,Joey Wat,51,China,Business
77.,Kiran Mazumdar-Shaw,69,India,Business
78.,Jenny Lee,50,Singapore,Venture Capital
79.,Taylor Swift,32,United States,Media & Entertainment
80.,Beyoncé Knowles,41,United States,Media & Entertainment
81.,Güler Sabanci,67,Turkey,Business
82.,Linda Thomas-Greenfield,70,United States,Impact
83.,Sanna Marin,37,Finland,Politics & Policy
84.,Solina Chau,60,China,Philanthropy
85.,Lee Boo-jin,52,South Korea,Business
86.,Reese Witherspoon,46,United States,Media & Entertainment
87.,Zuzana Caputova,49,Slovakia,Politics & Policy
88.,Dominique Senequier,69,France,Finance
89.,Falguni Nayar,59,India,Business
90.,Julia Gillard,61,Australia,Philanthropy
91.,Ngozi Okonjo-Iweala,68,Nigeria,Politics & Policy
92.,Raja Easa Al Gurg,-,United Arab Emirates,Business
93.,Shonda Rhimes,52,United States,Entertainment
94.,Xiomara Castro,63,Honduras,Politics & Policy
95.,Samia Suluhu Hassan,62,Tanzania,Politics & Policy
96.,Dolly Parton,76,United States,Lifestyle
97.,Kirsten Green,51,United States,Money
98.,Mia Mottley,57,Barbados,Politics & Policy
99.,Mo Abudu,58,Nigeria,Media & Entertainment
100.,Mahsa Amini (posthumous),-,Iran,Politics & Policy
